"A financial application requires encryption of all network traffic between Azure VMs in different virtual networks across regions. VMs must communicate using private IP addresses. Solution must provide AES-256 encryption with minimal latency overhead and support existing ExpressRoute connection.<br><br>A) VNet peering with Azure VPN Gateway encryption<br>B) Global VNet peering with secured connectivity<br>C) Virtual WAN with encryption between branches","B) Global VNet peering with secured connectivity","Global VNet peering with encryption-in-transit option enables AES-256 encryption at network fabric level between regions with minimal latency (hardware-based encryption). Uses private IPs. Compatible with ExpressRoute. VPN Gateway adds processing overhead and requires gateway in each VNet. Virtual WAN encryption is for site-to-site VPN scenarios, not VNet-to-VNet.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-network/virtual-network-peering-overview"">VNet peering encryption</a>","AZ-305 Networking EncryptionInTransit"
"A web application requires a custom DNS resolution strategy where internal.contoso.com resolves to private IPs in Azure VNet, while external.contoso.com uses public Azure DNS. On-premises DNS must forward internal queries to Azure. Solution must support automatic registration for VMs.<br><br>A) Azure Private DNS zones with VNet linking and forwarding rules to on-premises conditional forwarder<br>B) Azure DNS with A records and on-premises DNS conditional forwarding<br>C) Custom DNS servers on VMs with zone transfers","A) Azure Private DNS zones with VNet linking and forwarding rules to on-premises conditional forwarder","Private DNS zones provide automatic VM registration in linked VNets. On-premises DNS uses conditional forwarders pointing to Azure DNS resolvers (168.63.129.16) for private zone queries. Azure public DNS handles external.contoso.com. Custom DNS servers lack auto-registration. Azure DNS doesn't support private IPs or automatic registration.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/dns/private-dns-overview"">Azure Private DNS</a>","AZ-305 Networking DNSResolution"
"A microservices application on AKS requires outbound internet connectivity through a specific public IP for allowlisting by third-party APIs. All pods must use the same egress IP regardless of node. Solution must support 5,000 concurrent connections and automatic failover.<br><br>A) Azure NAT Gateway attached to AKS subnet<br>B) Azure Load Balancer outbound rules<br>C) Azure Firewall with forced tunneling","A) Azure NAT Gateway attached to AKS subnet","NAT Gateway provides dedicated egress IP, supports up to 64,000 concurrent connections per IP (easily handles 5,000), automatic zone redundancy, and attaches directly to subnet (all pods use same IP). Load Balancer outbound rules require manual SNAT port management. Firewall over-engineered and more expensive for simple egress IP requirement.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-network/nat-gateway/nat-overview"">Azure NAT Gateway</a>","AZ-305 Networking EgressIP"
"A hybrid environment requires 50 VNets across 5 Azure regions to communicate with each other and 10 on-premises sites. Network topology must support transitive routing, centralized firewall inspection, and BGP route propagation. Solution must minimize management of individual peering connections.<br><br>A) Hub-spoke topology with ExpressRoute in each hub and VNet peering<br>B) Virtual WAN with secured hub and ExpressRoute<br>C) Full mesh VNet peering with Network Virtual Appliance","B) Virtual WAN with secured hub and ExpressRoute","Virtual WAN provides transitive routing between all spokes, regions, and on-premises automatically. Secured hub integrates Azure Firewall for centralized inspection. BGP route propagation native. Single ExpressRoute connection to WAN hub. Hub-spoke with manual peering doesn't scale (50x49/2 = 1,225 peerings). Full mesh worse (unfeasible).

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-wan/virtual-wan-about"">Azure Virtual WAN</a>","AZ-305 Networking HybridConnectivity"
"A VPN connection between on-premises and Azure requires 10 Gbps throughput, 99.95% SLA, and active-active configuration with automatic failover under 10 seconds. Solution must support BGP for dynamic routing with multiple on-premises sites.<br><br>A) ExpressRoute with ExpressRoute Direct and MACsec encryption<br>B) VPN Gateway VpnGw5 SKU with active-active mode<br>C) Multiple site-to-site VPN connections with BGP","A) ExpressRoute with ExpressRoute Direct and MACsec encryption","ExpressRoute Direct provides 10/100 Gbps port speeds, 99.95% SLA with dual circuits, and MACsec Layer 2 encryption. BGP native with sub-second failover via BFD. VPN Gateway maximum 10 Gbps aggregate but 99.9% SLA. Multiple S2S VPN connections don't provide 99.95% SLA or guaranteed 10 Gbps.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/expressroute/expressroute-erdirect-about"">ExpressRoute Direct</a>","AZ-305 Networking ExpressRoute"
"A web application uses Azure Front Door for global load balancing. Security requires that backend App Service instances only accept traffic from Front Door and reject direct internet access. Solution must prevent IP spoofing and validate requests originate from customer's Front Door instance.<br><br>A) App Service access restrictions with Front Door Service Tag and X-Azure-FDID header validation<br>B) NSG rules allowing Front Door backend IP ranges<br>C) Private Link between Front Door and App Service","A) App Service access restrictions with Front Door Service Tag and X-Azure-FDID header validation","Service Tag blocks direct internet access while allowing Front Door. X-Azure-FDID header validation ensures requests are from customer's specific Front Door instance (prevents spoofing via other customers' Front Door). NSG IP ranges can be spoofed. Private Link not supported between Front Door and App Service.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/frontdoor/front-door-faq#how-do-i-lock-down-the-access-to-my-backend-to-only-azure-front-door-"">Securing backends with Front Door</a>","AZ-305 Networking SecurityLockdown"
"An application requires consistent network latency below 2ms between VMs running database and application tiers. VMs must maintain network performance during Azure maintenance events and zone failures. Each tier has 10 VMs. Solution must optimize for ultra-low latency.<br><br>A) Proximity Placement Group with Accelerated Networking and availability zones<br>B) Proximity Placement Group with single availability set and Accelerated Networking<br>C) Virtual Machine Scale Set with orchestration mode and Accelerated Networking","B) Proximity Placement Group with single availability set and Accelerated Networking","Proximity Placement Group co-locates VMs in same datacenter (sub-ms latency). Single availability set maintains proximity while providing fault domain separation. Accelerated Networking enables SR-IOV (<2ms latency). Availability zones place VMs in separate datacenters (higher latency, defeats purpose). VMSS orchestration doesn't guarantee proximity.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/co-location"">Proximity Placement Groups</a>","AZ-305 Compute PerformanceOptimization"
"A machine learning training workload requires 4 NVIDIA A100 GPUs with NVLink interconnect, 440 GB GPU memory, and RDMA networking. Training jobs run for 2-3 days. Solution must provide maximum GPU-to-GPU bandwidth and support InfiniBand for distributed training across nodes.<br><br>A) NC A100 v4-series VMs with InfiniBand<br>B) NV-series VMs with NVIDIA GRID<br>C) NC-series VMs with TCP/IP networking","A) NC A100 v4-series VMs with InfiniBand","NC A100 v4-series (e.g., NC96ads A100 v4) provides A100 GPUs with NVLink (600 GB/s GPU-GPU), up to 440 GB total GPU memory, and InfiniBand for RDMA. Optimized for distributed HPC/AI training. NV-series designed for visualization (NVIDIA GRID), not training. Older NC-series lacks A100 GPUs and InfiniBand.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/nc-a100-v4-series"">NC A100 v4-series</a>","AZ-305 Compute GPUworkloads"
"A database server VM requires consistent 160,000 IOPS and 2,000 MB/s throughput with sub-millisecond latency. Database files total 4 TB. Solution must use managed disks with Premium SSD performance without data loss risk.<br><br>A) Single Premium SSD v2 disk 4 TB with provisioned IOPS and throughput<br>B) Striped Premium SSD v1 P50 disks (4x 1 TB) with Storage Spaces<br>C) Ultra Disk 4 TB with provisioned IOPS and throughput","A) Single Premium SSD v2 disk 4 TB with provisioned IOPS and throughput","Premium SSD v2 allows independent provisioning of capacity, IOPS (up to 80,000 per disk, use 2 disks for 160K), and throughput (up to 1,200 MB/s per disk, use 2 disks). More cost-effective than Ultra Disk for this workload. Striped v1 disks hit IOPS limits (P50 = 7,500 IOPS each, would need 22 disks). Ultra Disk costlier when Premium SSD v2 meets requirements.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/disks-types#premium-ssd-v2"">Premium SSD v2</a>","AZ-305 Compute DiskPerformance"
"A VM workload requires guaranteed CPU performance without noisy neighbor issues, compliance with data residency regulations, and physical isolation from other customers. VMs must support standard D-series configurations with up to 64 vCPUs. Solution must minimize costs while meeting isolation requirements.<br><br>A) Azure Dedicated Host with D-series family<br>B) Isolated VM sizes with hardware isolation<br>C) Confidential Computing DC-series VMs","A) Azure Dedicated Host with D-series family","Dedicated Host provides physical server dedicated to single customer, supports multiple VM sizes from same family (D-series up to 64 vCPUs), and ensures complete isolation. Pay for host, not individual VMs (cost-effective for multiple VMs). Isolated sizes limited to specific sizes. DC-series for software-based isolation, not physical isolation.

<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/virtual-machines/dedicated-hosts"">Azure Dedicated Hosts</a>","AZ-305 Compute DedicatedInfrastructure"
