Front,Back,Extra,Tags
A team wants to store embedding vectors with transactional order data and query both in one ACID database engine. Which platform choice best fits?<br><br>A) Azure SQL Database with native vector support<br>B) Azure Blob Storage containers with lifecycle rules<br>C) Azure Files shares with SMB access,"A) Azure SQL Database with native vector support<br><br>Azure SQL Database can keep relational rows and vectors together, so transactional writes and vector lookups stay in one engine.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/azure-sql/database/vector-search-overview"">Vector search in Azure SQL Database</a>","Blob and file storage are great for objects, but they do not provide relational joins, ACID OLTP patterns, or native SQL vector querying.",DP-800 AISolutionDesign DataModeling
You must find the most semantically similar support article to a user question embedding. Which T-SQL function should you use in the ranking query?<br><br>A) JSON_VALUE to parse the vector payload<br>B) VECTOR_DISTANCE to score embedding similarity<br>C) STRING_SPLIT to tokenize question text,"B) VECTOR_DISTANCE to score embedding similarity<br><br>VECTOR_DISTANCE computes distance between vectors so you can ORDER BY similarity for nearest-neighbor retrieval.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/sql/t-sql/functions/vector-distance-transact-sql"">VECTOR_DISTANCE (Transact-SQL)</a>","JSON_VALUE and STRING_SPLIT are useful utilities, but they do not compute numeric distance between embeddings.",DP-800 RetrievalPatterns SimilaritySearch
A chatbot on Azure SQL should reduce hallucinations by grounding answers in approved internal content. Which architecture pattern should you implement?<br><br>A) Pure prompting with no retrieval layer<br>B) Keyword-only lookup with no semantic ranking<br>C) RAG that retrieves approved chunks before generation,"C) RAG that retrieves approved chunks before generation<br><br>RAG augments model prompts with trusted retrieved context, improving factual grounding and traceability.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/architecture/ai-ml/guide/rag/rag-overview"">Retrieval-augmented generation overview</a>",Pure prompting cannot cite enterprise facts reliably. Keyword-only lookup often misses semantically relevant passages.,DP-800 AISolutionDesign RAGPatterns
Security requires the app to access Azure OpenAI without embedding API keys in code or config files. What should the app use?<br><br>A) A managed identity with Microsoft Entra token auth<br>B) A shared SQL login stored in appsettings.json<br>C) A hard-coded OpenAI key inside source control,"A) A managed identity with Microsoft Entra token auth<br><br>Managed identities remove secret handling and allow token-based access controlled by Azure RBAC.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/azure-sql/database/authentication-aad-overview"">Microsoft Entra authentication for Azure SQL</a>",Secret-based methods increase rotation and leakage risk. Managed identity is the least-secret operational model.,DP-800 SecurityGovernance IdentityAccess
"You need to protect a national ID column so DBAs cannot view plaintext values, while the application can still query with parameterized predicates. Which feature is best?<br><br>A) Transparent Data Encryption only<br>B) Always Encrypted with secure enclaves<br>C) Database-level firewall rules","B) Always Encrypted with secure enclaves<br><br>Always Encrypted keeps sensitive data encrypted at rest, in transit, and in use boundaries, with client-side key control.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/azure-sql/database/always-encrypted-azure-key-vault-configure"">Always Encrypted with Azure Key Vault</a>","TDE protects files at rest, not DBA visibility in query results. Firewalls control network entry, not column exposure.",DP-800 SecurityGovernance DataProtection
A SaaS app stores many tenants in one database and must ensure each tenant only reads its own rows in every query path. Which control should be primary?<br><br>A) Separate schemas with naming conventions only<br>B) Nightly export jobs per tenant<br>C) Row-level security predicates,"C) Row-level security predicates<br><br>Row-level security enforces per-row filters in the database engine, independent of app query mistakes.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/security/row-level-security"">Row-level security</a>","Naming conventions are advisory, not enforcement. Export jobs do not secure online transactional reads.",DP-800 SecurityGovernance TenantIsolation
An AI endpoint slowed after a deployment. You need automatic recommendations such as missing indexes and plan regressions from Azure SQL. Which feature should you check first?<br><br>A) Intelligent Insights in Azure SQL<br>B) Azure DevOps pull request comments<br>C) Storage account lifecycle reports,"A) Intelligent Insights in Azure SQL<br><br>Intelligent Insights analyzes telemetry for regressions and surfaces actionable performance diagnostics.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/azure-sql/database/intelligent-insights-overview"">Intelligent Insights</a>",DevOps comments and storage lifecycle reports are useful elsewhere but do not analyze SQL runtime behavior.,DP-800 PerformanceOperations Monitoring
A vector-enabled query became slower because the optimizer picked a bad plan after stats drift. Which built-in capability can force a known good plan safely?<br><br>A) Auto-failover groups<br>B) Query Store plan forcing<br>C) Elastic job schedules,"B) Query Store plan forcing<br><br>Query Store tracks plan history and supports forcing a stable plan when regressions occur.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/azure-sql/database/query-store"">Query Store in Azure SQL Database</a>","Failover groups provide DR, and elastic jobs orchestrate tasks; neither controls query plan selection.",DP-800 PerformanceOperations QueryTuning
Your retrieval query needs lexical precision for exact product terms plus semantic relevance from embeddings. Which design is best?<br><br>A) Use only VECTOR_DISTANCE and remove all text filtering<br>B) Use only LIKE with wildcard text scans<br>C) Combine full-text filtering with vector similarity ranking,"C) Combine full-text filtering with vector similarity ranking<br><br>Hybrid retrieval pairs lexical recall/precision with semantic ranking for stronger answer quality.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/sql/relational-databases/search/full-text-search"">Full-text search</a>",Vector-only can miss exact constraints; LIKE-only often lacks semantic understanding and scale efficiency.,DP-800 RetrievalPatterns HybridRetrieval
A product owner asks how to lower token cost in the RAG pipeline without reducing answer quality too much. Which step should you optimize first?<br><br>A) Chunk and retrieve only top relevant passages<br>B) Send entire source documents each prompt<br>C) Duplicate every chunk to increase recall,"A) Chunk and retrieve only top relevant passages<br><br>Selecting smaller, relevant context lowers token usage while preserving grounding quality.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/architecture/ai-ml/guide/rag/rag-overview"">Retrieval-augmented generation overview</a>",Sending full documents and duplicates increases cost and may reduce model focus.,DP-800 PerformanceOperations CostOptimization
