Front,Back,Extra,Tags
A multinational enterprise requires that user accounts from 5 on-premises Active Directory forests be synchronized to Azure AD. Each forest has separate domains with non-routable namespaces. Users must authenticate using their forest credentials and UPN conflicts must be resolved automatically.<br><br>A) Deploy Azure AD Connect in each forest with UPN suffix configuration and source anchor uniqueness<br>B) Use Azure AD Connect Cloud Sync with multiple provisioning agents<br>C) Manually create Azure AD accounts and configure password hash sync,A) Deploy Azure AD Connect in each forest with UPN suffix configuration and source anchor uniqueness,"Multi-forest scenarios require Azure AD Connect instances per forest with unique source anchors (typically ObjectGUID) for deduplication. UPN suffix mapping resolves namespace conflicts. Cloud Sync doesn't support complex multi-forest topologies with UPN conflicts. Manual creation doesn't maintain hybrid identity. Azure AD Connect multi-forest deployment is the enterprise hybrid identity solution.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/active-directory/hybrid/plan-connect-topologies"">Azure AD Connect topologies</a>",AZ-104 IdentityGovernance HybridIdentity
Your organization manages 300 Azure subscriptions across 8 business divisions. Corporate security requires that ExpressRoute circuits cannot be created in any subscription except the central networking subscription. Budget owners in divisions must still have Contributor access to their subscriptions.<br><br>A) Create Azure Policy at tenant root with Deny effect for ExpressRoute creation with exemption for networking subscription<br>B) Remove Microsoft.Network permissions from Contributor role using custom role definitions<br>C) Use Azure Blueprints to lock down ExpressRoute resources,A) Create Azure Policy at tenant root with Deny effect for ExpressRoute creation with exemption for networking subscription,"Policy Deny effect at management group root scope prevents ExpressRoute creation across all subscriptions. Policy exemptions allow networking team to create circuits. Custom roles require modifying access across 300 subscriptions (unscalable). Blueprints don't enforce ongoing restrictions. Azure Policy with Deny + exemptions provides centralized enforcement.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/governance/policy/concepts/effects"">Azure Policy effects</a>",AZ-104 IdentityGovernance AzurePolicy
A financial services company requires that all Azure administrators authenticate using hardware security keys (FIDO2) when accessing production subscriptions. Standard users can use any MFA method. Conditional Access should apply regardless of device or location.<br><br>A) Create Conditional Access policy targeting production subscription administrative roles requiring authentication strength for passwordless methods<br>B) Enable Security Defaults with per-user MFA configuration<br>C) Configure Azure AD Identity Protection risk-based policies,A) Create Conditional Access policy targeting production subscription administrative roles requiring authentication strength for passwordless methods,"Conditional Access supports authentication strength policies targeting specific authentication methods (FIDO2). Can target directory roles (subscription admins). Security Defaults don't allow method specificity or role targeting. Identity Protection focuses on risk signals not method requirements. CA with authentication strength provides granular MFA method enforcement.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/active-directory/authentication/concept-authentication-strengths"">Authentication strength in Azure AD</a>",AZ-104 IdentityGovernance ConditionalAccess
"Your company has deployed 500 VMs without consistent tagging. Central IT requires all VMs to have CostCenter, Owner, and Environment tags. Missing tags should be automatically added using default values from the resource group tags. Existing tags should not be overwritten.<br><br>A) Deploy Azure Policy with Modify effect using 'addOrReplace' operation for inherit tag values and remediation task<br>B) Create Azure Automation runbook to iterate through VMs and add missing tags<br>C) Use Azure Policy Deny effect to prevent VM creation without tags",A) Deploy Azure Policy with Modify effect using 'addOrReplace' operation for inherit tag values and remediation task,"Modify effect can inherit tags from resource group (TagName parameter) without overwriting existing values. Remediation tasks fix non-compliant resources automatically. Automation runbooks require maintenance and don't prevent future non-compliance. Deny prevents new resources but doesn't remediate existing ones. Policy Modify with remediation is the declarative governance solution.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/governance/policy/how-to/remediate-resources"">Remediate non-compliant resources</a>",AZ-104 IdentityGovernance AzurePolicy
A DevOps team needs to deploy resources to Azure using service principal authentication from GitHub Actions pipelines. The credentials must rotate automatically every 90 days and should have minimal required permissions for resource group deployments.<br><br>A) Create App Registration with federated identity credential for GitHub Actions and assign Contributor role at resource group scope<br>B) Use Managed Identity with client secret expiration<br>C) Create service principal with password and store in GitHub Secrets,A) Create App Registration with federated identity credential for GitHub Actions and assign Contributor role at resource group scope,"Federated identity credentials eliminate static secrets using OIDC trust with GitHub. No rotation needed (tokenless). Contributor at RG scope follows least privilege. Managed Identity not available outside Azure. Service principal passwords require manual rotation. Workload identity federation is the secure, keyless authentication for CI/CD.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/active-directory/develop/workload-identity-federation"">Workload identity federation</a>",AZ-104 IdentityGovernance ServicePrincipals
A storage account contains 300TB of archival data in Cool tier that hasn't been accessed in 18 months. Company policy requires 7-year retention but data access is expected less than twice per year. Minimize total storage costs while maintaining required retention.<br><br>A) Configure lifecycle management policy to transition blobs to Archive tier<br>B) Move data to Azure Data Lake Storage Gen2 Archive tier<br>C) Export data to Azure Backup vault,A) Configure lifecycle management policy to transition blobs to Archive tier,"Archive tier provides lowest storage cost ($0.002/GB vs Cool $0.0152/GB or $0.01/GB). Lifecycle policies automate tier transition based on last access/modification time. ADLS Gen2 is for analytics workloads. Backup vault is for backup data not primary archival storage. Archive tier with lifecycle management optimizes archival costs with policy-driven governance.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-overview"">Access tiers for blob data</a>",AZ-104 Storage Lifecycle
"Your application requires SMB file shares accessible from 100 Azure VMs and 50 on-premises servers. Share must support concurrent edits with file-level locking, 10TB capacity, and sub-20ms latency for on-premises access via ExpressRoute.<br><br>A) Azure Files Premium with private endpoint and ExpressRoute integration<br>B) Azure NetApp Files with Standard tier<br>C) Azure Blob Storage with NFS 3.0 protocol",A) Azure Files Premium with private endpoint and ExpressRoute integration,"Azure Files Premium provides SMB protocol with low latency (single-digit ms), file locking, and hybrid access via ExpressRoute. Private endpoint keeps traffic on Microsoft network. NetApp is more expensive for this scale (designed for >100TB). Blob NFS uses NFS not SMB and lacks file locking. Premium Files balances performance and cost for hybrid SMB workloads.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/files/storage-files-planning"">Planning for Azure Files</a>",AZ-104 Storage FileShares
"A storage account replicates data using GRS between East US and West US. During a regional outage in East US, applications need immediate read access to data in West US. The solution should minimize configuration changes during the outage.<br><br>A) Configure RA-GRS (Read-Access Geo-Redundant Storage) before the outage<br>B) Initiate account failover to secondary region when outage occurs<br>C) Create new storage account in West US and copy data using AzCopy",A) Configure RA-GRS (Read-Access Geo-Redundant Storage) before the outage,"RA-GRS provides read access to secondary region (West US) at all times via secondary endpoint (-secondary.blob.core.windows.net). No configuration change during outage needed. Account failover makes secondary writeable but takes time (hours). Creating new account during outage adds delay. RA-GRS is the high-availability configuration for geo-redundant read access.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-redundancy"">Azure Storage redundancy</a>",AZ-104 Storage Redundancy
Your company needs to transfer 2PB of historical data from on-premises data center to Azure Blob Storage. Network bandwidth is 1Gbps and transfer must complete within 30 days. Direct upload would take 6 months.<br><br>A) Order Azure Data Box Heavy devices for offline data transfer<br>B) Use AzCopy with parallel transfers over VPN<br>C) Configure Azure Storage account object replication,A) Order Azure Data Box Heavy devices for offline data transfer,"Data Box Heavy supports up to 1PB per device (2 devices for 2PB). Physical shipment bypasses network constraints. At 1Gbps, 2PB upload takes ~185 days. AzCopy over VPN limited by bandwidth. Object replication is for Azure-to-Azure, not on-premises. Data Box optimizes large-scale initial data migration offline.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/databox/data-box-heavy-overview"">Azure Data Box Heavy</a>",AZ-104 Storage DataTransfer
"A storage account must be accessible only from specific Azure VNets using private IP addresses. Public endpoint should be completely disabled including Azure Portal access. Administrators must still manage the storage account via Portal.<br><br>A) Create Private Endpoint for storage account and disable public network access, administrators use Portal from VNet-connected machine or VPN<br>B) Configure storage account firewall with VNet service endpoints<br>C) Use Private Endpoint and enable trusted Microsoft services bypass","A) Create Private Endpoint for storage account and disable public network access, administrators use Portal from VNet-connected machine or VPN","Private Endpoint with public access disabled ensures no internet-facing endpoint exists. Portal management works via Private Endpoint from VNet-connected device. Service endpoints reduce public exposure but keep public endpoint active. Trusted services bypass allows specific Azure services but not Portal from internet. Private Endpoint with disabled public access provides zero internet exposure.<br><br>Reference: <a href=""https://learn.microsoft.com/en-us/azure/storage/common/storage-private-endpoints"">Private endpoints for Azure Storage</a>",AZ-104 Storage Security
