Front,Back,Extra,Tags
"An enterprise AI application requires deployment across multiple regions with <99.9% uptime SLA and must support both OpenAI GPT-4 and custom vision models. The solution needs unified monitoring, key management, and endpoint configuration across all AI services.<br><br>A) Deploy Azure OpenAI and Azure AI Vision separately with individual authentication<br>B) Create an Azure AI Services multi-service resource<br>C) Use Azure Kubernetes Service to containerize all models","B) Create an Azure AI Services multi-service resource<br><br>Azure AI Services multi-service resources provide a unified endpoint, single key management, and consolidated billing/monitoring across multiple AI capabilities. Option A creates management overhead with separate endpoints. Option C adds unnecessary infrastructure complexity for managed services.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/multi-service-resource"">Multi-service resource overview</a>","Multi-service resources simplify authentication (one key for all services), provide unified monitoring in Azure Monitor, and enable consolidated cost tracking. Separate resources require managing multiple endpoints, keys, and monitoring streams. Use multi-service for production deployments; use single-service only when strict cost isolation per capability is required.",AI-102 PlanManage ServiceSelection
A financial services company must implement content filtering for a customer-facing chatbot to prevent disclosure of sensitive financial data and PII. The system must block prompts attempting to extract customer account details while allowing legitimate banking queries. Monitoring must detect attempted prompt injection attacks.<br><br>A) Implement Azure Content Safety with custom blocklists and prompt shields<br>B) Use Azure API Management rate limiting and throttling<br>C) Configure Azure Application Gateway with WAF rules,"A) Implement Azure Content Safety with custom blocklists and prompt shields<br><br>Azure Content Safety provides AI-specific protections including prompt shields (detects jailbreak attempts), content filters (blocks harmful outputs), and custom blocklists (prevents specific sensitive terms). APIM throttling (B) only limits request volume. WAF (C) protects against web attacks but lacks AI-specific threat detection like prompt injection.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/content-safety/concepts/jailbreak-detection"">Prompt shields documentation</a>","Prompt shields detect direct and indirect attacks (user prompt injections and document-embedded attacks). Custom blocklists enable domain-specific filtering (e.g., ""account number"", ""SSN""). Content Safety integrates with Azure OpenAI and monitors in real-time. WAF protects infrastructure but doesn't understand LLM-specific attacks like jailbreaks or adversarial prompts.",AI-102 PlanManage ResponsibleAI
"An Azure OpenAI deployment must scale to 100,000 TPM during business hours but minimize costs overnight when usage drops to 5,000 TPM. The solution requires deployment in multiple Azure regions for disaster recovery with automatic failover.<br><br>A) Deploy Provisioned Throughput Units with autoscaling<br>B) Use Standard deployment with Azure Front Door load balancing<br>C) Implement Container Instances with horizontal pod autoscaling","B) Use Standard deployment with Azure Front Door load balancing<br><br>Standard (pay-per-token) deployments automatically scale to demand without provisioning capacity and only charge for actual usage. Front Door provides multi-region routing with health probes for failover. PTU (A) requires upfront capacity commitment not suited for 20x variance. Container deployments (C) aren't applicable to Azure OpenAI managed service.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/openai/how-to/deployment-types"">Azure OpenAI deployment types</a>","Standard deployments suit variable workloads (pay-per-token, no upfront commitment). Provisioned Throughput Units (PTU) suit predictable high-volume workloads needing guaranteed capacity and lower per-token costs at scale. PTU minimum commitment is typically 50,000 TPM monthly. For 20x daily variance, Standard is more cost-effective; for sustained 100k+ TPM, PTU provides cost savings.",AI-102 PlanManage Deployment
"An AI application processes 10,000 document processing requests daily using Azure Document Intelligence. Cost monitoring shows the service exceeds budget due to processing high-resolution scanned documents. The solution must reduce costs while maintaining OCR accuracy for standard business documents.<br><br>A) Downscale document resolution to 150 DPI before processing<br>B) Switch to Azure Vision OCR API instead of Document Intelligence<br>C) Implement Azure AI Search with built-in OCR skillset","A) Downscale document resolution to 150 DPI before processing<br><br>Document Intelligence pricing is per page processed. Pre-processing images to 150-200 DPI reduces processing time and data transfer costs while maintaining OCR quality for printed text. Vision OCR (B) lacks document structure extraction (tables, forms) that Document Intelligence provides. AI Search OCR (C) still uses same underlying service and adds indexing costs.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/document-intelligence/concept-layout"">Document layout analysis</a>","Document Intelligence charges per page analyzed. Optimization strategies: (1) Downscale images to 150-200 DPI (sufficient for printed text), (2) Use Read model for simple text extraction instead of Layout model when structure isn't needed, (3) Batch processing for volume discounts. Vision OCR is cheaper but doesn't extract tables/forms/structure. Choose based on whether you need structured data extraction.",AI-102 PlanManage CostManagement
A government application must authenticate AI service calls using Azure AD managed identities without storing credentials in code or configuration files. The solution must support both Azure Functions (compute) and Azure Logic Apps (integration) calling Azure OpenAI services.<br><br>A) Configure system-assigned managed identity for each resource with Azure OpenAI RBAC role<br>B) Use Azure Key Vault to store API keys and reference them at runtime<br>C) Generate SAS tokens with limited time-to-live for each request,"A) Configure system-assigned managed identity for each resource with Azure OpenAI RBAC role<br><br>System-assigned managed identities eliminate credential management entirely. Both Functions and Logic Apps support managed identities. Assign ""Cognitive Services OpenAI User"" role at Azure OpenAI resource scope. Key Vault (B) still requires managing secrets and retrieval logic. SAS tokens (C) aren't supported for Azure OpenAI authentication.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/openai/how-to/managed-identity"">Managed identity with Azure OpenAI</a>","System-assigned identities: Automatically managed lifecycle (deleted with resource), scoped to single resource. User-assigned identities: Independent lifecycle, reusable across multiple resources. For Azure OpenAI, assign ""Cognitive Services OpenAI User"" (inference) or ""Cognitive Services OpenAI Contributor"" (management) roles. Managed identities eliminate key rotation requirements and credential exposure risks.",AI-102 PlanManage Security
An enterprise must implement custom content filtering for an Azure OpenAI chatbot that blocks competitor product names and allows company-specific terminology in prompts and completions. The filter must work in real-time with minimal latency impact (<100ms) and log all blocked content for compliance review.<br><br>A) Configure Azure OpenAI content filters with custom blocklists and severity thresholds<br>B) Implement Azure API Management policy with regex pattern matching<br>C) Deploy Azure Functions with Custom Content Safety evaluator in the prompt flow,"A) Configure Azure OpenAI content filters with custom blocklists and severity thresholds<br><br>Azure OpenAI content filters support custom blocklists (up to 10,000 terms) with low latency (20-30ms overhead). Blocklists apply to both inputs and outputs. APIM policies (B) add latency and lack semantic understanding. Functions with evaluators (C) add significant latency and require maintaining separate deployment.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/openai/how-to/blocklists"">Custom blocklists for Azure OpenAI</a>","Custom blocklists support exact match and wildcard patterns. Apply to: prompts (prevent users mentioning competitors), completions (prevent model generating competitor names), or both. Native integration adds minimal latency. For semantic filtering (concepts vs keywords), use Content Safety custom categories. Blocklists complement default content filters (hate, violence, sexual, self-harm) which continue operating.",AI-102 PlanManage ResponsibleAI
"A generative AI solution must implement RAG pattern to ground GPT-4 responses in company product documentation stored in SharePoint (500,000 pages). The system needs semantic search with hybrid ranking combining keyword and vector similarity for optimal retrieval accuracy.<br><br>A) Use Azure AI Search with semantic ranking and vector search, index SharePoint content<br>B) Implement Azure Cosmos DB for MongoDB vCore with vector embeddings<br>C) Deploy Azure Database for PostgreSQL with pgvector extension","A) Use Azure AI Search with semantic ranking and vector search, index SharePoint content<br><br>Azure AI Search provides native hybrid search (combining keyword BM25 + vector similarity), semantic ranking powered by Microsoft AI, built-in SharePoint connector, and skillsets for document cracking. Cosmos DB MongoDB (B) requires custom indexing and ranking logic. PostgreSQL pgvector (C) lacks document processing and ranking capabilities.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/search/search-what-is-azure-search"">Azure AI Search overview</a>","Hybrid search combines: (1) Keyword search (BM25 algorithm) for exact term matches, (2) Vector search (cosine similarity) for semantic meaning, (3) Semantic ranking for result reordering using deep learning models. Azure AI Search also provides: document cracking (PDF, Office), skillsets (custom enrichment), knowledge store (projections). For RAG, AI Search is purpose-built; vector databases require building search infrastructure.",AI-102 GenerativeAI RAGPattern
"An Azure OpenAI application generates product descriptions that must maintain consistent formatting (bullet points, character limits) and tone (professional, technical). The solution must be easily updatable by marketing team without code changes and support A/B testing different prompt variations.<br><br>A) Hardcode system prompts in application with feature flags for variations<br>B) Store prompt templates in Azure App Configuration with parameterization<br>C) Use Azure OpenAI function calling to format outputs","B) Store prompt templates in Azure App Configuration with parameterization<br><br>App Configuration supports versioning, feature flags (A/B testing), and dynamic refresh without redeploy. Prompt templates can include parameters for product-specific variables. Hardcoding (A) requires code changes and deployment. Function calling (C) is for tool integration, not prompt management.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/azure-app-configuration/overview"">Azure App Configuration overview</a>","Prompt template management strategies: (1) App Configuration: versioned, feature-flagged, dynamic refresh; (2) Azure Storage: simple, requires app restart; (3) Azure Cosmos DB: queryable metadata, versioning. For production, use App Configuration for: hot-reload capability, built-in feature flags, access control. Templates should include: system message (role/behavior), few-shot examples (output format), constraints (length, style).",AI-102 GenerativeAI PromptEngineering
"A healthcare AI chatbot using GPT-4 must generate responses with clinical accuracy verification. The solution needs to configure model parameters to reduce hallucinations and implement self-reflection to validate medical information before responding to patients.<br><br>A) Set temperature=0.0, implement prompt flow with validation tool that queries medical knowledge base<br>B) Set temperature=1.0 for creativity, use top_p=0.95 for diversity<br>C) Enable streaming responses with real-time human review","A) Set temperature=0.0, implement prompt flow with validation tool that queries medical knowledge base<br><br>Temperature=0.0 produces deterministic, factual responses (minimizes hallucination). Prompt flow validation tools enable model reflection by querying authoritative sources (e.g., medical KB) before final response. Temperature=1.0 (B) increases randomness/creativity (wrong for factual accuracy). Streaming with human review (C) doesn't prevent initial generation of hallucinations.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/openai/how-to/completions"">Completion parameters</a>","Temperature controls randomness: 0.0 = deterministic (factual tasks), 1.0 = creative (ideation). Top_p (nucleus sampling): 0.1 = conservative, 1.0 = diverse. For high-accuracy scenarios: temperature=0.0-0.3, top_p=0.1-0.5. Model reflection pattern: (1) Generate draft response, (2) Use validation tool/prompt to check facts, (3) Revise or reject response. Implement in Azure Prompt Flow with custom Python tools.",AI-102 GenerativeAI Optimization
"An organization deploys GPT-4 for code generation in an IDE extension used by 5,000 developers. The solution must minimize latency for code completions (<500ms) while tracking token usage per developer team for chargeback and identifying performance bottlenecks in the generation pipeline.<br><br>A) Enable Azure OpenAI diagnostic settings to Log Analytics, use Application Insights for client telemetry<br>B) Implement custom logging in application code only<br>C) Use Azure Monitor workbooks without detailed logging","A) Enable Azure OpenAI diagnostic settings to Log Analytics, use Application Insights for client telemetry<br><br>Azure OpenAI diagnostic logs capture: token counts, latency, model version, prompt filter results. Log Analytics enables Kusto queries for per-team analysis. Application Insights traces end-to-end request flow (client→API→response). Option B misses service-side metrics. Option C provides visualization but lacks granular data for cost allocation.<br><br>Reference: <a href=""https://learn.microsoft.com/azure/ai-services/openai/how-to/monitor-openai"">Monitor Azure OpenAI</a>","Key metrics to monitor: (1) PTU utilization (for provisioned deployments), (2) Token usage by dimension (team, application), (3) HTTP status codes (429 = rate limit), (4) E2E latency breakdown (network, model processing, post-processing). Use Log Analytics queries to: aggregate usage by custom dimensions, identify slow requests, forecast capacity needs. Application Insights dependency tracking shows Azure OpenAI as dependency with timing.",AI-102 GenerativeAI Monitoring
