Front,Back,Extra,Tags
"Your application must cache frequently accessed data with sub-millisecond latency. Cache entries must expire after 10 minutes and support automatic failover across regions.<br><br>A) Azure Cache for Redis Premium tier with geo-replication and TTL settings<br>B) Azure Table Storage with cached queries<br>C) In-memory caching in App Service instances","A) Azure Cache for Redis Premium tier with geo-replication and TTL settings","Redis Premium provides sub-millisecond latency, geo-replication for failover, and per-key TTL settings. Table Storage has higher latency. In-memory caching in App Service doesn't provide cross-instance consistency or failover. Redis Premium delivers enterprise-grade caching with high availability and flexible expiration policies.","AZ-204 Storage Redis"
"An application uses Azure Cache for Redis to store session state for a web farm. Sessions must survive cache node failures without data loss.<br><br>A) Configure Redis data persistence with AOF (Append Only File) or RDB snapshots<br>B) Use Standard tier without persistence<br>C) Store sessions in Blob Storage instead of Redis","A) Configure Redis data persistence with AOF (Append Only File) or RDB snapshots","Redis persistence (AOF for durability, RDB for backups) writes data to disk, enabling recovery after failures. Standard tier doesn't prevent data loss from failures. Moving to Blob Storage loses sub-millisecond performance. Persistence ensures cache durability for critical data like sessions.","AZ-204 Storage Redis"
"Your web API must respond to CORS preflight requests from https://app.contoso.com allowing POST requests with custom headers.<br><br>A) Configure CORS policy in App Service or API Management with allowed origins, methods, and headers<br>B) Add Access-Control-Allow-Origin header manually in application code for all responses<br>C) Disable CORS validation in browser","A) Configure CORS policy in App Service or API Management with allowed origins, methods, and headers","Platform-level CORS configuration handles preflight OPTIONS requests automatically with proper headers. Manual header setting in code doesn't handle preflight correctly. Disabling browser validation isn't possible. Declarative CORS configuration ensures proper preflight handling and security.","AZ-204 Security CORS"
"An App Service application must authenticate users via Azure AD and also accept requests with API keys for legacy clients.<br><br>A) Enable App Service Authentication with Azure AD provider and implement custom API key middleware<br>B) Use Azure AD authentication only with guest accounts for legacy clients<br>C) Disable built-in authentication and implement custom solution","A) Enable App Service Authentication with Azure AD provider and implement custom API key middleware","App Service Authentication handles Azure AD flows; custom middleware can validate API keys for requests bypassing Easy Auth. Guest accounts don't solve API key requirement. Custom-only solution duplicates platform features. Hybrid approach combines platform authentication with custom logic for legacy support.","AZ-204 Security Authentication"
"Your Azure SQL Database must scale to handle unpredictable workloads with automatic performance adjustment without manual intervention.<br><br>A) Configure serverless compute tier with auto-pause and auto-scale<br>B) Use vCore provisioned tier with manual scaling<br>C) Implement DTU-based tier with fixed resources","A) Configure serverless compute tier with auto-pause and auto-scale","Serverless tier automatically scales compute based on workload and pauses during inactivity for cost savings. vCore/DTU require manual scaling. Serverless is ideal for unpredictable workloads with intermittent usage patterns requiring automatic scale and cost optimization.","AZ-204 Storage AzureSQL"
"An application queries Azure SQL Database across multiple tables with complex joins. Query performance degrades with data growth. You must optimize read performance without changing code.<br><br>A) Create non-clustered indexes on foreign key and WHERE clause columns<br>B) Scale up database tier permanently<br>C) Add read replicas for all queries","A) Create non-clustered indexes on foreign key and WHERE clause columns","Indexes dramatically improve query performance by reducing scans. Scaling up increases cost without addressing query efficiency. Read replicas help scale out but indexes are primary optimization. Strategic indexing on join and filter columns optimizes query execution plans without code changes.","AZ-204 Storage AzureSQL"
"Your application must execute long-running data import jobs (30+ minutes) against Azure SQL Database without blocking other transactions.<br><br>A) Use Azure SQL Database elastic jobs or Azure Data Factory with batch processing<br>B) Execute import in application code with synchronous calls<br>C) Use stored procedure with transaction isolation","A) Use Azure SQL Database elastic jobs or Azure Data Factory with batch processing","Elastic jobs and Data Factory provide orchestrated, resilient batch processing separate from application. Synchronous code blocks application. Stored procedures run in database engine (still block). Elastic jobs/Data Factory enable long-running operations with retry, scheduling, and monitoring.","AZ-204 Storage AzureSQL"
"An application must store structured configuration data with fast point-reads by composite key (partitionKey + rowKey). Data access is infrequent but must be very low cost.<br><br>A) Azure Table Storage with partition key design<br>B) Azure SQL Database with clustered index<br>C) Cosmos DB with composite partition key","A) Azure Table Storage with partition key design","Table Storage provides extremely low-cost NoSQL storage with fast point-reads via partition/row keys. SQL Database has higher cost for infrequent access. Cosmos DB is more expensive than Table Storage for simple key/value scenarios. Table Storage optimizes cost for infrequent structured data access.","AZ-204 Storage TableStorage"
"Your application must share files across multiple Azure VMs and App Service instances with SMB protocol support and AD authentication.<br><br>A) Azure Files with SMB shares and Azure AD Domain Services integration<br>B) Blob Storage with NFS protocol<br>C) Shared disk attached to VMs","A) Azure Files with SMB shares and Azure AD Domain Services integration","Azure Files provides fully managed SMB shares with Azure AD DS authentication mountable by Windows/Linux VMs and App Service. Blob NFS is for Linux-specific scenarios without SMB. Shared disks have attachment limits. Azure Files delivers cloud-native SMB file sharing with identity integration.","AZ-204 Storage AzureFiles"
"An API Management instance must expose version 1 and version 2 of an API simultaneously, routing based on URL path (/v1/ vs /v2/).<br><br>A) Configure API versioning with path-based versioning scheme in API Management<br>B) Deploy separate API Management instances for each version<br>C) Use query string parameter for version selection","A) Configure API versioning with path-based versioning scheme in API Management","API Management versioning supports path-based schemes (e.g., /api/v1/, /api/v2/) with single API definition. Multiple instances increase cost and complexity. Query strings are less RESTful than path-based. Built-in versioning enables side-by-side version deployment with flexible routing.","AZ-204 Integration APIManagement"
